,1,2,3,4,5,6,7,8,9,10
Decision Tree Regressor,0.0019996166229248047,0.002000093460083008,0.0030019283294677734,0.001001119613647461,0.0009999275207519531,0.0009980201721191406,0.0019991397857666016,0.0010004043579101562,0.002000093460083008,0.0030012130737304688
Random Forest,0.13900995254516602,0.1480112075805664,0.14501023292541504,0.13400983810424805,0.15101146697998047,0.14100956916809082,0.15301108360290527,0.14501070976257324,0.15501022338867188,0.14501118659973145
BaggingRegressor,0.002997159957885742,0.002998828887939453,0.002000093460083008,0.004000186920166016,0.0020003318786621094,0.0030002593994140625,0.0020003318786621094,0.002000093460083008,0.0029997825622558594,0.004000186920166016
ExtraTreesRegressor,0.010000944137573242,0.010000467300415039,0.008000373840332031,0.009001016616821289,0.008000612258911133,0.010999917984008789,0.008000850677490234,0.011000871658325195,0.011001825332641602,0.00800180435180664
Linear Regression,0.002000093460083008,0.0020003318786621094,0.0020024776458740234,0.0009992122650146484,0.0019998550415039062,0.0009987354278564453,0.0020008087158203125,0.001998424530029297,0.0010001659393310547,0.002002716064453125
MLPRegressor,0.001998424530029297,0.0020003318786621094,0.002003192901611328,0.0009984970092773438,0.0020003318786621094,0.0019981861114501953,0.0020017623901367188,0.002000093460083008,0.002000570297241211,0.0010001659393310547
KNeighborsRegressor,0.002998828887939453,0.0019986629486083984,0.003002166748046875,0.002000093460083008,0.002000093460083008,0.0010004043579101562,0.0019981861114501953,0.0019986629486083984,0.0009987354278564453,0.0019996166229248047
SVR,0.003000974655151367,0.002000093460083008,0.0020003318786621094,0.002001047134399414,0.0020012855529785156,0.002000570297241211,0.0020003318786621094,0.002000093460083008,0.002000093460083008,0.0019991397857666016
