,1,2,3,4,5,6,7,8,9,10
Decision Tree Regressor,70.17369983226014,779.9652347428105,330.96640760500594,1111.3866387269286,1657.0534366313752,1650.2707526454676,516.495779624936,244.36710695787798,193.46211802601334,152.67273641500125
Random Forest,55.20454025953288,743.6592721818619,422.4784158541007,1097.647796559759,2132.4311802210677,772.9863269760959,399.22917863408986,258.16494742461214,46.093817123539985,98.83190276922855
BaggingRegressor,60.96144501057844,744.9736396927323,374.7838914282123,1073.7111731090718,2172.9459758006296,705.2284072659114,283.6464066926102,280.60792420372934,57.307389995952114,111.96764062955036
ExtraTreesRegressor,54.778078040195865,732.0387027721259,416.9245895627571,1204.1728219790714,1756.760655990542,607.9082896239204,368.4903570923864,144.41315183823025,73.5250309315237,85.71945632723661
Linear Regression,2.299644752751196e-11,8.959704968571692e-11,1.0657253343833944e-10,4.353955768710033e-11,1.940571134858271e-11,5.796563902235655e-11,7.668864872264683e-11,1.5412217536210327e-09,2.4534606559525497e-10,5.704813706519362e-11
MLPRegressor,17.792695064171337,183.28998480482366,35.663379727623784,499.5129864343183,38.90639779393536,103.73795863940722,44.847658473335095,1487.7841581835792,7.330678316447923,84.02747529083807
KNeighborsRegressor,105.30020519835092,730.5592676542784,682.5964261173275,1176.0061879907744,4515.876182024677,3377.1425921748523,1770.1339271031106,136.1798083689627,269.8924058871526,220.87722696691162
SVR,186.27848825128783,900.0677003343611,1575.0518903856494,2305.2481396121298,5370.536221900076,4012.323564737538,548.9081768990753,819.9310919556325,556.9738314219879,406.286611113842
