,date,cases_new,state_id,cases_recovered,cases_death,cases_active,checkins,unique_ind,cumul_full,pop,percent_vax
67,2021-05-02,3418,1,2698,12,30228,24231021,8203966,571662,32657400,0.02
68,2021-05-03,2500,1,2068,18,30637,23254128,8536478,598406,32657400,0.02
69,2021-05-04,3120,1,2334,23,31409,22744061,8483078,618109,32657400,0.02
70,2021-05-05,3744,1,2304,17,32819,24049100,8682917,641016,32657400,0.02
71,2021-05-06,3551,1,2709,19,33633,23611193,8642911,659801,32657400,0.02
72,2021-05-07,4498,1,3449,22,34651,23217042,8551907,675290,32657400,0.02
73,2021-05-08,4519,1,2719,25,36422,25047635,8521542,683733,32657400,0.02
74,2021-05-09,3733,1,3211,26,36923,23018256,8186473,690339,32657400,0.02
75,2021-05-10,3807,1,3454,17,37241,21911978,8306025,715204,32657400,0.02
76,2021-05-11,3973,1,2848,22,38322,23265144,8552943,733662,32657400,0.02
77,2021-05-12,4765,1,3124,39,39913,22178702,7923638,741490,32657400,0.02
78,2021-05-13,4855,1,3347,27,41383,10104640,4633809,741500,32657400,0.02
79,2021-05-14,4113,1,4190,34,41262,13990809,5768748,741509,32657400,0.02
80,2021-05-15,4140,1,3432,44,41922,17830889,6745474,742113,32657400,0.02
81,2021-05-16,3780,1,3990,36,41668,16552638,6472395,742447,32657400,0.02
82,2021-05-17,4446,1,2784,45,43279,19238488,7532172,770657,32657400,0.02
83,2021-05-18,4865,1,3497,47,44589,18849131,7542128,803048,32657400,0.02
84,2021-05-19,6075,1,3516,46,47096,19420502,7646418,837191,32657400,0.03
85,2021-05-20,6806,1,3916,59,49940,19907875,7797155,859194,32657400,0.03
86,2021-05-21,6493,1,4508,50,51865,20228235,7773728,878090,32657400,0.03
87,2021-05-22,6320,1,4694,50,53407,18651121,7154725,881452,32657400,0.03
88,2021-05-23,6976,1,3587,49,56727,16769456,6659891,889875,32657400,0.03
89,2021-05-24,6509,1,3452,61,59718,19266279,7657783,916016,32657400,0.03
90,2021-05-25,7289,1,3789,60,63144,18763826,7531634,946803,32657400,0.03
91,2021-05-26,7478,1,4665,63,65866,15120040,6500935,948712,32657400,0.03
92,2021-05-27,7857,1,4598,59,69062,11414288,5838257,998367,32657400,0.03
93,2021-05-28,8290,1,4814,61,72433,7031026,4428873,1025951,32657400,0.03
94,2021-05-29,9020,1,5527,98,75851,5271811,3437237,1041029,32657400,0.03
95,2021-05-30,6999,1,5121,79,77620,2999182,2106959,1065460,32657400,0.03
96,2021-05-31,6824,1,5251,67,79096,13806523,4448733,1094173,32657400,0.03
97,2021-06-01,7105,1,6083,71,80024,12836910,5818512,1118634,32657400,0.03
98,2021-06-02,7703,1,5777,126,81863,14368575,6392792,1128533,32657400,0.03
99,2021-06-03,8209,1,7049,103,82913,15024454,6621910,1136407,32657400,0.03
100,2021-06-04,7748,1,6624,86,83954,15024835,6588921,1141392,32657400,0.03
101,2021-06-05,7452,1,6105,109,85211,15084945,6522677,1142793,32657400,0.03
102,2021-06-06,6241,1,5133,87,86240,13511240,6053780,1144410,32657400,0.04
103,2021-06-07,5271,1,7548,82,83880,13100123,5911343,1149512,32657400,0.04
104,2021-06-08,5566,1,6962,76,82411,17112576,7336194,1195919,32657400,0.04
105,2021-06-09,6239,1,7386,75,81171,16821298,7281910,1236712,32657400,0.04
106,2021-06-10,5671,1,7325,73,79449,16495696,7226658,1284195,32657400,0.04
107,2021-06-11,6849,1,7749,84,78483,16436489,7179736,1314485,32657400,0.04
108,2021-06-12,5793,1,8334,76,75859,15786028,6913902,1348673,32657400,0.04
109,2021-06-13,5304,1,8163,64,72927,14144443,6375628,1375681,32657400,0.04
110,2021-06-14,4949,1,6588,60,71197,16910128,7393790,1431617,32657400,0.04
111,2021-06-15,5419,1,6831,101,69706,17026385,7465586,1487852,32657400,0.05
112,2021-06-16,5150,1,7240,73,67535,17013396,7490105,1496139,32657400,0.05
113,2021-06-17,5738,1,7530,60,65662,16725691,7424414,1540566,32657400,0.05
114,2021-06-18,6440,1,6861,74,65160,16831412,7411024,1573329,32657400,0.05
115,2021-06-19,5911,1,6918,72,64086,16438319,7196306,1609649,32657400,0.05
116,2021-06-20,5293,1,5941,60,63363,14338600,6547034,1633893,32657400,0.05
117,2021-06-21,4611,1,5439,69,62454,17259596,7599068,1688638,32657400,0.05
118,2021-06-22,4743,1,5557,77,61552,17280009,7636028,1749680,32657400,0.05
119,2021-06-23,5244,1,6372,83,60340,17381073,7682156,1829833,32657400,0.06
120,2021-06-24,5841,1,5411,84,60690,17079569,7612496,1924647,32657400,0.06
121,2021-06-25,5812,1,6775,82,59649,17040493,7534778,1992942,32657400,0.06
122,2021-06-26,5803,1,5193,81,60171,16528639,7294517,2049306,32657400,0.06
123,2021-06-27,5586,1,4777,60,60908,14305344,6559382,2115516,32657400,0.06
124,2021-06-28,5218,1,4744,57,61291,17545075,7745713,2159160,32657400,0.07
125,2021-06-29,6437,1,5298,107,62339,17865681,7849601,2244646,32657400,0.07
126,2021-06-30,6276,1,4929,62,63576,18979117,8129506,2341459,32657400,0.07
127,2021-07-01,6988,1,5580,84,64886,18908211,8101091,2428039,32657400,0.07
128,2021-07-02,6982,1,6278,73,65483,20441759,8380952,2498721,32657400,0.08
129,2021-07-03,6658,1,5677,107,66348,16488851,7105297,2578074,32657400,0.08
130,2021-07-04,6045,1,5271,63,67008,14881701,6633487,2658892,32657400,0.08
131,2021-07-05,6387,1,4532,77,68763,17892572,7705699,2780315,32657400,0.09
132,2021-07-06,7654,1,4797,103,71507,18095935,7780087,2919560,32657400,0.09
133,2021-07-07,7097,1,4863,91,73586,18400422,7865994,3096055,32657400,0.09
134,2021-07-08,8868,1,5802,135,76494,18258832,7861018,3256605,32657400,0.1
135,2021-07-09,9180,1,5713,77,79779,18042905,7734690,3386369,32657400,0.1
136,2021-07-10,9353,1,5910,87,83073,16655703,7274107,3502949,32657400,0.11
137,2021-07-11,9105,1,5194,90,86800,14585281,6612889,3606337,32657400,0.11
138,2021-07-12,8574,1,5041,103,90157,18070731,7824609,3768791,32657400,0.12
139,2021-07-13,11079,1,5990,125,95053,17743210,7769519,3940131,32657400,0.12
140,2021-07-14,11618,1,6377,118,100115,19039637,8089914,4104055,32657400,0.13
141,2021-07-15,13215,1,6095,110,107026,19074986,8097781,4264983,32657400,0.13
142,2021-07-16,12541,1,6742,115,112611,18992596,8005078,4398945,32657400,0.13
143,2021-07-17,12528,1,6629,138,118246,18974196,7887380,4530676,32657400,0.14
144,2021-07-18,10710,1,5778,153,122943,17259037,7393890,4634771,32657400,0.14
145,2021-07-19,10972,1,6439,129,127255,20975355,8548480,4789276,32657400,0.15
146,2021-07-20,12366,1,7567,93,131778,12336422,5678794,4892712,32657400,0.15
147,2021-07-21,11985,1,7902,199,135589,18325737,7762127,5063131,32657400,0.16
148,2021-07-22,13034,1,8436,134,139923,19261749,8155914,5239871,32657400,0.16
149,2021-07-23,15573,1,10094,144,145113,19515603,8187698,5404358,32657400,0.17
150,2021-07-24,15902,1,9471,184,151245,18427529,7798119,5541939,32657400,0.17
151,2021-07-25,17045,1,9683,92,158304,16006719,7058597,5666963,32657400,0.17
152,2021-07-26,14516,1,9371,207,163180,19418579,8270676,5862561,32657400,0.18
153,2021-07-27,16117,1,11526,207,167495,19622551,8321997,6068386,32657400,0.19
154,2021-07-28,17405,1,12373,143,172206,19831246,8395305,6275448,32657400,0.19
155,2021-07-29,17170,1,12930,174,176157,19396863,8279150,6494009,32657400,0.2
156,2021-07-30,16840,1,12179,134,180491,18904504,8092181,6696993,32657400,0.21
157,2021-07-31,17786,1,11718,165,186247,18999684,7930202,6904553,32657400,0.21
158,2021-08-01,17150,1,11326,160,191745,16745940,7216699,7090099,32657400,0.22
159,2021-08-02,15764,1,11767,219,195368,19955687,8389175,7342246,32657400,0.22
160,2021-08-03,17105,1,12297,195,199837,20056135,8428884,7593167,32657400,0.23
161,2021-08-04,19819,1,12704,257,206645,19966088,8414552,7866532,32657400,0.24
162,2021-08-05,20596,1,13893,164,213036,19975283,8417547,8169327,32657400,0.25
163,2021-08-06,20889,1,16394,160,217173,20112071,8385104,8435098,32657400,0.26
164,2021-08-07,19257,1,16322,210,219774,19728486,8117127,8682232,32657400,0.27
165,2021-08-08,18688,1,17055,360,221087,16787679,7264728,8921839,32657400,0.27
166,2021-08-09,17236,1,15187,212,222831,20179181,8473013,9206435,32657400,0.28
167,2021-08-10,19991,1,16258,201,226156,17334940,7497140,9408123,32657400,0.29
168,2021-08-11,20780,1,17973,211,228675,19886866,8462701,9682732,32657400,0.3
169,2021-08-12,21668,1,17687,318,232362,19614148,8402830,10016612,32657400,0.31
170,2021-08-13,21468,1,17025,277,236542,19073947,8198185,10327735,32657400,0.32
171,2021-08-14,20670,1,17655,260,239281,18433351,7888197,10617352,32657400,0.33
172,2021-08-15,20546,1,16945,282,242593,15778774,7066182,10899015,32657400,0.33
173,2021-08-16,19740,1,17450,274,244592,19261760,8340927,11234136,32657400,0.34
174,2021-08-17,19631,1,16467,293,247503,19294421,8356638,11584225,32657400,0.35
175,2021-08-18,22242,1,19680,225,249787,19061919,8334637,11948864,32657400,0.37
176,2021-08-19,22948,1,21720,178,250758,20701548,8669392,12300692,32657400,0.38
177,2021-08-20,23564,1,21448,233,252641,19986775,8471937,12642034,32657400,0.39
178,2021-08-21,22262,1,18576,223,256079,20601150,8438695,12967695,32657400,0.4
179,2021-08-22,19807,1,18200,232,257383,17750609,7570066,13282050,32657400,0.41
180,2021-08-23,17672,1,19053,174,255729,20777800,8737541,13538435,32657400,0.41
181,2021-08-24,20837,1,18613,211,257766,20099181,8591240,13814960,32657400,0.42
182,2021-08-25,22642,1,20798,265,259375,20898367,8814461,14090073,32657400,0.43
183,2021-08-26,24599,1,22657,393,261047,21069469,8848065,14357075,32657400,0.44
184,2021-08-27,22070,1,21877,339,261004,21122424,8788247,14575122,32657400,0.45
185,2021-08-28,22597,1,19492,252,263871,21167380,8590678,14785411,32657400,0.45
186,2021-08-29,20579,1,20845,285,263360,18305255,7710179,14963354,32657400,0.46
187,2021-08-30,19268,1,21257,294,261098,21968425,8983661,15159161,32657400,0.46
188,2021-08-31,20897,1,18465,282,263274,17938501,7482416,15317318,32657400,0.47
189,2021-09-01,18762,1,21073,278,260695,22100719,9107928,15546476,32657400,0.48
190,2021-09-02,20988,1,23473,249,257983,21950290,9066121,15753964,32657400,0.48
191,2021-09-03,19378,1,22399,330,254745,22841557,9225679,15956051,32657400,0.49
192,2021-09-04,19057,1,21582,362,251992,23180717,9072418,16143744,32657400,0.49
193,2021-09-05,20396,1,20573,336,251566,21639697,8508217,16314625,32657400,0.5
194,2021-09-06,17352,1,20201,272,248484,25068473,9673723,16514558,32657400,0.51
195,2021-09-07,18547,1,18902,311,247901,25209053,9753759,16721890,32657400,0.51
196,2021-09-08,19733,1,22701,361,244686,24857360,9714060,16934992,32657400,0.52
197,2021-09-09,19307,1,24855,322,238926,25301139,9823060,17142830,32657400,0.52
198,2021-09-10,21176,1,21476,341,238412,25357189,9798438,17340595,32657400,0.53
199,2021-09-11,19550,1,21771,592,235978,25564464,9634348,17530225,32657400,0.54
200,2021-09-12,19198,1,20980,292,233970,22760385,8847218,17696910,32657400,0.54
201,2021-09-13,16073,1,24813,413,225049,23943579,9534212,17870026,32657400,0.55
202,2021-09-14,15669,1,18053,463,222471,25203956,9883271,18059378,32657400,0.55
203,2021-09-15,19495,1,18760,422,222995,25211945,9885069,18258559,32657400,0.56
204,2021-09-16,18815,1,16939,346,224689,22402145,8729379,18412757,32657400,0.56
205,2021-09-17,17577,1,22970,387,219106,24948682,9783455,18594757,32657400,0.57
206,2021-09-18,15549,1,17205,324,217283,24357098,9453119,18770821,32657400,0.57
207,2021-09-19,14954,1,23469,376,208609,21976784,8730961,18943095,32657400,0.58
208,2021-09-20,14345,1,16814,301,205993,25665903,10035506,19154137,32657400,0.59
209,2021-09-21,15759,1,16650,334,204950,25011981,9934764,19302386,32657400,0.59
210,2021-09-22,14990,1,19702,487,200094,25592458,10030592,19516821,32657400,0.6
211,2021-09-23,13754,1,16628,116,197072,26176318,10181372,19725456,32657400,0.6
212,2021-09-24,14554,1,16751,250,194729,26767619,10245556,19894091,32657400,0.61
213,2021-09-25,13899,1,18074,228,190395,27451761,10123433,20052210,32657400,0.61
214,2021-09-26,13104,1,20971,278,182401,24038686,9210042,20214547,32657400,0.62
215,2021-09-27,10959,1,16430,258,176801,26456744,10266633,20376452,32657400,0.62
216,2021-09-28,11332,1,14160,240,173868,26541913,10293712,20546859,32657400,0.63
217,2021-09-29,12434,1,17000,208,169179,26994270,10405512,20705321,32657400,0.63
218,2021-09-30,12735,1,17725,192,164059,27815729,10539569,20877452,32657400,0.64
219,2021-10-01,11889,1,15891,121,159960,28980407,10702331,21020814,32657400,0.64
220,2021-10-02,10915,1,15396,109,155348,30592905,10698178,21151827,32657400,0.65
221,2021-10-03,9066,1,14454,118,149856,28330088,10079224,21270634,32657400,0.65
222,2021-10-04,8075,1,15456,76,142384,28597344,10713530,21377160,32657400,0.65
223,2021-10-05,8817,1,15615,117,135489,28991261,10785507,21485886,32657400,0.66
224,2021-10-06,9380,1,13045,105,131731,28902108,10762592,21589796,32657400,0.66
225,2021-10-07,9890,1,12884,132,128643,29221297,10867785,21684850,32657400,0.66
226,2021-10-08,9751,1,12724,78,125581,30656128,11071380,21792941,32657400,0.67
227,2021-10-09,8743,1,14422,74,119828,31901725,10970501,21903262,32657400,0.67
228,2021-10-10,7373,1,10959,64,116160,29335877,10328554,22007383,32657400,0.67
229,2021-10-11,6709,1,10833,93,111955,29362255,10926787,22149586,32657400,0.68
230,2021-10-12,7276,1,10555,103,108581,29230419,10938403,22309459,32657400,0.68
231,2021-10-13,7950,1,10832,68,105619,29767155,11005026,22471883,32657400,0.69
232,2021-10-14,8084,1,12456,88,101182,29428703,11003118,22642941,32657400,0.69
233,2021-10-15,7420,1,10145,89,98381,30874125,11197119,22781113,32657400,0.7
234,2021-10-16,7509,1,9531,88,96287,31764101,11064336,22899201,32657400,0.7
235,2021-10-17,6145,1,9231,63,93129,29087934,10385623,23022061,32657400,0.7
236,2021-10-18,5434,1,8435,72,90059,30140880,11118633,23196798,32657400,0.71
237,2021-10-19,5745,1,8933,69,86787,28154118,10334133,23320137,32657400,0.71
