,1,2,3,4,5,6,7,8,9,10
Decision Tree Regressor,0.0020003318786621094,0.0029993057250976562,0.0019986629486083984,0.0020008087158203125,0.0009996891021728516,0.0019965171813964844,0.002001523971557617,0.002000093460083008,0.002000093460083008,0.0010001659393310547
Random Forest,0.0740058422088623,0.07100629806518555,0.06900501251220703,0.07100534439086914,0.07100510597229004,0.07100558280944824,0.07500600814819336,0.06900525093078613,0.06900596618652344,0.07300496101379395
BaggingRegressor,0.0029993057250976562,0.003000497817993164,0.002000570297241211,0.003999948501586914,0.0020003318786621094,0.003000497817993164,0.003999948501586914,0.0030002593994140625,0.002000093460083008,0.0020012855529785156
ExtraTreesRegressor,0.011000633239746094,0.008002281188964844,0.00899815559387207,0.009001493453979492,0.010000467300415039,0.008000612258911133,0.010001659393310547,0.009001493453979492,0.008000850677490234,0.008999347686767578
Linear Regression,0.0020024776458740234,0.00099945068359375,0.0010001659393310547,0.0009996891021728516,0.002002716064453125,0.0009999275207519531,0.002000093460083008,0.0010001659393310547,0.0010001659393310547,0.0010004043579101562
MLPRegressor,0.0009999275207519531,0.001001119613647461,0.0019986629486083984,0.002000093460083008,0.0009987354278564453,0.0019991397857666016,0.000997304916381836,0.0019986629486083984,0.0009992122650146484,0.0009982585906982422
KNeighborsRegressor,0.0019974708557128906,0.0019998550415039062,0.0029993057250976562,0.001998424530029297,0.0019965171813964844,0.0020003318786621094,0.001997709274291992,0.001998424530029297,0.002000093460083008,0.002002239227294922
SVR,0.0029985904693603516,0.002000093460083008,0.0019979476928710938,0.002001523971557617,0.002000570297241211,0.0019969940185546875,0.0030007362365722656,0.0029976367950439453,0.002000093460083008,0.0030002593994140625
