,1,2,3,4,5,6,7,8,9,10
Decision Tree Regressor,0.003999948501586914,0.0010001659393310547,0.00099945068359375,0.0020008087158203125,0.001991748809814453,0.002001047134399414,0.0020020008087158203,0.0019996166229248047,0.0019996166229248047,0.001998424530029297
Random Forest,2.8062076568603516,2.351174831390381,2.541188955307007,2.348175048828125,2.644196033477783,2.976222276687622,3.201237678527832,3.463256359100342,3.3902530670166016,3.4902591705322266
BaggingRegressor,0.017003536224365234,0.01600170135498047,0.01700115203857422,0.019000768661499023,0.020999908447265625,0.01700115203857422,0.018001317977905273,0.019001245498657227,0.02100229263305664,0.021001577377319336
ExtraTreesRegressor,0.07000255584716797,0.0850067138671875,0.08100485801696777,0.09100556373596191,0.08800673484802246,0.09900856018066406,0.10100746154785156,0.10200786590576172,0.1240086555480957,0.1240081787109375
Linear Regression,0.007001161575317383,0.001999378204345703,0.0010001659393310547,0.0019996166229248047,0.0009992122650146484,0.0020017623901367188,0.0010004043579101562,0.0010001659393310547,0.0020003318786621094,0.0010001659393310547
MLPRegressor,0.06489276885986328,0.10600805282592773,0.10400724411010742,0.05600595474243164,0.14101076126098633,0.12801122665405273,0.10600781440734863,0.010999441146850586,0.17101287841796875,0.13800954818725586
KNeighborsRegressor,0.0020024776458740234,0.0010006427764892578,0.0009999275207519531,0.0019989013671875,0.0009989738464355469,0.002000093460083008,0.0020029544830322266,0.0010018348693847656,0.001999378204345703,0.0010006427764892578
SVR,0.0029985904693603516,0.002000570297241211,0.001998424530029297,0.0019996166229248047,0.0039958953857421875,0.004999876022338867,0.0060002803802490234,0.005000591278076172,0.00800013542175293,0.007001638412475586
