id,name,code,populations
1,Malaysia,MY,32657400
2,Johor,JH,3781000
3,Kedah,KD,2185100
4,Kelantan,KN,1906700
5,Melaka,MK,932700
6,Negeri Sembilan,NS,1128800
7,Pahang,PH,1678700
8,Pulau Pinang,PP,1773600
9,Perak,PK,2510300
10,Perlis,PS,254900
11,Selangor,SG,6538000
12,Terengganu,TG,1259300
13,Sabah,SB,3908500
14,Sarawak,SW,2816500
15,W.P. Kuala Lumpur,KL,1773700
16,W.P. Labuan,LB,99600
17,W.P. Putrajaya,PJ,110000
