cluster,state,date_announced,date_last_onset,category,status
KLUSTER WARGA JEPUN,14,2020-03-01,2020-03-09,import,ended
KLUSTER UDA,"1,5,10,14,16",2020-03-04,2020-03-01,import,ended
KLUSTER KEAGAMAAN (TABLIGH SRI PETALING),0,2020-03-13,2020-03-11,religious,ended
KLUSTER TABLIGH NEW DELHI,"5,10,14,16",2020-03-16,2020-03-20,import,ended
KLUSTER AIROD,6,2020-03-31,2020-03-31,workplace,ended
KLUSTER PUI ITALI,13,2020-04-05,2020-03-20,import,ended
SUBKLUSTER TABLIGH SRI PETALING - KLUSTER MAJLIS PERKAHWINAN BANDAR BARU BANGI,"1,2,3,4,5,8,10,11,14,16",2020-04-06,2020-03-14,religious,ended
KLUSTER PERSIDANGAN GEREJA GNF,13,2020-04-06,2020-03-15,religious,ended
SUBKLUSTER TABLIGH SRI PETALING - KLUSTER BANDAR BARU IBRAHIM MAJID & KAWASAN SEKITAR,1,2020-04-07,2020-03-13,religious,ended
SUBKLUSTER TABLIGH SRI PETALING - KLUSTER MENARA PLAZA CITY ONE,14,2020-04-07,2020-03-19,religious,ended
SUBKLUSTER TABLIGH SRI PETALING - KLUSTER REMBAU,5,2020-04-08,2020-03-14,religious,ended
"SUBKLUSTER TABLIGH SRI PETALING - KLUSTER MADRASAH BUSTANUL ULUM ABU BAKAR, AYER MERBAU",4,2020-04-12,2020-03-15,religious,ended
SUBKLUSTER TABLIGH SRI PETALING - KLUSTER KAMPUNG SUNGAI LUI,10,2020-04-12,2020-03-16,religious,ended
"SUBKLUSTER TABLIGH SRI PETALING - KLUSTER MAAHAD DARUL ULOOM AL-ISLAMIA, SUNGAI SALAN",6,2020-04-12,2020-03-18,religious,ended
SUBKLUSTER TABLIGH SRI PETALING - KLUSTER MADRASAH PENANTI,7,2020-04-12,2020-03-20,religious,ended
KLUSTER PUI BALI,"3,6",2020-04-13,2020-03-24,import,ended
KLUSTER BANDAR BARU SRI SENDAYAN,5,2020-04-14,2020-04-12,religious,ended
"KLUSTER TABLIGH MAKASAR (JOHOR), INDONESIA",1,2020-04-16,2020-03-15,import,ended
SUBKLUSTER TABLIGH SRI PETALING - KLUSTER FLAT PKNS,14,2020-04-16,2020-03-16,religious,ended
"KLUSTER HPSF, MUAR",1,2020-04-16,2020-03-22,highRisk,ended
KLUSTER WARGA EMAS,10,2020-04-16,2020-03-22,highRisk,ended
SUBKLUSTER TABLIGH SRI PETALING - KLUSTER PASIR GUDANG EDIBLE OIL (PGEO),1,2020-04-16,2020-03-22,religious,ended
KLUSTER IJN,"5,10,14,16",2020-04-16,2020-03-25,highRisk,ended
KLUSTER ISTANA NEGARA,"6,14",2020-04-16,2020-03-26,workplace,ended
SUBKLUSTER TABLIGH SRI PETALING - KLUSTER MALAYAN MANSION,14,2020-04-16,2020-03-26,religious,ended
"KLUSTER TABLIGH MAKASAR, INDONESIA",12,2020-04-16,2020-03-30,import,ended
SUBKLUSTER TABLIGH SRI PETALING - KLUSTER SELANGOR MANSION,14,2020-04-16,2020-04-05,religious,ended
KLUSTER PAKISTAN,12,2020-04-16,2020-04-13,community,ended
SUBKLUSTER TABLIGH SRI PETALING - KLUSTER PEKAN,6,2020-04-17,2020-03-15,religious,ended
KLUSTER HOSPITAL SUNGAI BULOH,10,2020-04-17,2020-03-23,highRisk,ended
KLUSTER HOSPITAL UMUM SARAWAK,13,2020-04-17,2020-03-31,highRisk,ended
KLUSTER PETUGAS KESIHATAN SABAH,12,2020-04-18,2020-04-03,highRisk,ended
"KLUSTER PESANTREN MAGETAN, JAWA TIMUR","4,5,10,13,16",2020-04-19,2020-04-19,import,ended
KLUSTER SEKSYEN 6 BANGI,10,2020-04-21,2020-03-17,community,ended
KLUSTER PENGERANG,"1,10",2020-04-22,2020-03-23,highRisk,ended
SUBKLUSTER TABLIGH SRI PETALING - KLUSTER PASAR HARIAN SELAYANG,"10,14",2020-04-28,2020-03-23,religious,ended
KLUSTER PASAR CHOW KIT,"10,14",2020-04-28,2020-04-02,workplace,ended
KLUSTER SELAYANG BARU,10,2020-04-30,2020-04-28,community,ended
KLUSTER KAMPUNG BARU,14,2020-05-01,2020-03-15,community,ended
KLUSTER PEDAS,"4,5",2020-05-02,2020-04-12,workplace,ended
"KLUSTER TAHFIZ INTEGRASI IBNU SOLEH, LANCHANG",6,2020-05-02,2020-05-02,religious,ended
KLUSTER TAPAK PEMBINAAN KUALA LUMPUR,14,2020-05-03,2020-04-26,workplace,ended
SUBKLUSTER TABLIGH SRI PETALING - KLUSTER DI KUCHING,13,2020-05-04,2020-03-18,religious,ended
SUBKLUSTER TABLIGH SRI PETALING - KLUSTER PASAR BORONG KL,"5,6,10,14",2020-05-04,2020-04-01,religious,ended
KLUSTER TAPAK PEMBINAAN SETIA ALAM,10,2020-05-06,2020-05-08,workplace,ended
KLUSTER PENGAWAL KESELAMATAN CHERAS,"10,14",2020-05-07,2020-05-01,workplace,ended
SUBKLUSTER TABLIGH SRI PETALING - KLUSTER PASAR BESAR JALAN OTHMAN,"10,14",2020-05-11,2020-04-26,religious,ended
KLUSTER BENUS,6,2020-05-13,2020-05-11,community,ended
KLUSTER IPT SABAH,12,2020-05-13,2020-05-12,community,ended
"KLUSTER MADRASAH BAROKATUL QODIRI, SOLOK DUKU",4,2020-05-14,2020-05-03,religious,ended
KLUSTER PUDU,14,2020-05-18,2020-05-10,community,ended
KLUSTER PASAR KAJANG,10,2020-05-21,2020-05-20,workplace,ended
KLUSTER DTI BUKIT JALIL,"5,10,14",2020-05-21,2020-08-11,detentionCentre,ended
KLUSTER DTI SEMENYIH,10,2020-05-23,2020-05-23,detentionCentre,ended
KLUSTER DTI SEPANG,10,2020-05-25,2020-05-24,detentionCentre,ended
KLUSTER TAPAK PEMBINAAN KUALA LUMPUR 2,14,2020-05-25,2020-05-24,workplace,ended
KLUSTER SYARIKAT PEMBERSIHAN,"5,10",2020-05-29,2020-05-28,workplace,ended
KLUSTER DTSI PUTRAJAYA,"14,16",2020-05-30,2020-05-30,detentionCentre,ended
KLUSTER SYARIKAT PEMBINAAN JALAN MARAN,6,2020-05-31,2020-05-31,workplace,ended
KLUSTER LADANG BERA,6,2020-05-31,2020-05-31,workplace,ended
KLUSTER KILANG PAPAN MARAN,6,2020-05-31,2020-05-31,workplace,ended
KLUSTER PANGSAPURI CHERAS,"10,14",2020-06-02,2020-05-26,community,ended
KLUSTER SYARIKAT PEMBERSIHAN KUALA LUMPUR,"10,14",2020-06-06,2020-06-06,workplace,ended
KLUSTER GOMBAK,"10,14",2020-06-07,2020-05-19,community,ended
KLUSTER WARGA EMAS KUALA SELANGOR,10,2020-06-15,2020-05-17,highRisk,ended
KLUSTER MDR,12,2020-06-17,2020-06-12,highRisk,ended
KLUSTER TAPAK PEMBINAAN KUCHING,13,2020-06-18,2020-06-17,workplace,ended
KLUSTER KIDURONG,13,2020-06-19,2020-06-13,community,ended
KLUSTER LANJUT,10,2020-06-20,2020-06-07,community,ended
KLUSTER KONDOMINIUM HULU LANGAT,10,2020-06-24,2020-06-10,community,ended
KLUSTER BUKIT BINTANG,"10,14",2020-06-24,2020-06-15,community,ended
KLUSTER SYARIKAT PEMBINAAN KUCHING,13,2020-06-24,2020-07-12,workplace,ended
KLUSTER KEJURUTERAAN KUCHING,13,2020-07-12,2020-07-12,workplace,ended
KLUSTER PUI NOVGOROD,"4,10",2020-07-13,2020-07-07,import,ended
KLUSTER MAMBONG,13,2020-07-16,2020-07-15,workplace,ended
KLUSTER JUPITER,13,2020-07-17,2020-07-13,import,ended
KLUSTER PUI SHIRALA,"14,16",2020-07-17,2020-07-15,import,ended
KLUSTER PUSAT PERUBATAN KUCHING,13,2020-07-17,2020-07-15,highRisk,ended
KLUSTER PUI PITAKWA,11,2020-07-17,2020-07-16,import,ended
KLUSTER PASAR STUTONG,13,2020-07-18,2020-07-18,workplace,ended
KLUSTER RESTORAN KUALA LUMPUR,14,2020-07-19,2020-07-06,workplace,ended
KLUSTER JETI KUCHING,13,2020-07-19,2020-07-16,workplace,ended
KLUSTER RUMAH KONGSI SEPANG,10,2020-07-19,2020-07-17,community,ended
KLUSTER WARGA EMAS KLUANG,1,2020-07-20,2020-07-19,highRisk,ended
KLUSTER SENTOSA,13,2020-07-21,2020-07-21,highRisk,ended
KLUSTER HYDE PARK,10,2020-07-22,2020-07-19,import,ended
KLUSTER PUI MELBOURNE,13,2020-07-22,2020-07-22,import,ended
KLUSTER PUI RAMNAD,"14,16",2020-07-22,2020-07-22,import,ended
KLUSTER PUI AL KHOBAR,10,2020-07-24,2020-07-21,import,ended
KLUSTER ELSA,6,2020-07-24,2020-07-23,import,ended
KLUSTER BUKIT TIRAM,"1,10",2020-07-25,2020-07-25,religious,ended
KLUSTER SATOK,13,2020-07-28,2020-07-28,workplace,ended
KLUSTER PUI SIVAGANGGA,"2,7,9",2020-07-28,2020-07-28,import,ended
KLUSTER MERANTI,"10,16",2020-08-09,2020-08-09,workplace,ended
KLUSTER KURAU,"7,8",2020-08-09,2020-08-10,community,ended
KLUSTER TAWAR,"2,7",2020-08-13,2020-09-12,religious,ended
KLUSTER MUDA,2,2020-08-14,2020-08-14,workplace,ended
KLUSTER SALA,2,2020-08-15,2020-08-17,community,ended
KLUSTER ALAM (KAPAL),13,2020-08-20,2020-08-08,import,ended
KLUSTER MAJU,14,2020-08-21,2020-08-17,workplace,ended
KLUSTER MV GLEN (KAPAL),10,2020-08-30,2020-09-01,import,ended
KLUSTER TELAGA,2,2020-08-30,2020-09-10,highRisk,ended
KLUSTER BUNGA (KAPAL),"5,10",2020-08-31,2020-09-17,import,ended
KLUSTER BENTENG LD,12,2020-09-01,2020-11-15,import,ended
KLUSTER DTI SEMENYIH 2,"5,10",2020-09-04,2020-09-03,detentionCentre,ended
KLUSTER SUNGAI,"2,9",2020-09-07,2020-10-04,highRisk,ended
KLUSTER LAUT,12,2020-09-12,2020-11-06,import,ended
KLUSTER PULAU,12,2020-09-15,2020-10-14,community,ended
KLUSTER SELAMAT,12,2020-09-17,2020-09-25,community,ended
KLUSTER BAKAU,12,2020-09-19,2020-09-30,community,ended
KLUSTER ARA,"7,12",2020-09-20,2020-09-15,community,ended
KLUSTER KUARTERS,12,2020-09-21,2020-10-10,highRisk,ended
KLUSTER BANGAU-BANGAU,12,2020-09-22,2020-10-19,community,ended
KLUSTER UDIN,12,2020-09-23,2020-09-22,community,ended
KLUSTER ORKIM (KAPAL),1,2020-09-25,2020-09-24,import,ended
KLUSTER SETAPAK,14,2020-09-27,2020-09-14,community,ended
KLUSTER KAMPUNG SAKONG,12,2020-09-27,2020-09-30,community,ended
KLUSTER BUANG SAYANG,"5,12,14",2020-09-27,2020-10-19,community,ended
KLUSTER JALAN APAS,10,2020-09-28,2020-09-28,community,ended
KLUSTER JALAN UTARA,12,2020-09-29,2020-09-28,community,ended
KLUSTER BAKAWALI,1,2020-09-29,2020-09-30,workplace,ended
KLUSTER BENTENG PK,10,2020-09-29,2020-11-18,import,ended
KLUSTER JALAN BOMBA,12,2020-09-29,2020-12-10,community,ended
KLUSTER JOO HWA,12,2020-10-01,2020-10-03,community,ended
KLUSTER BAH KETIL,2,2020-10-01,2020-10-14,community,ended
KLUSTER SELASIH,"1,5,10,16",2020-10-01,2020-10-15,community,ended
KLUSTER JALAN MERU,"1,3,6,8,10,14",2020-10-01,2020-11-02,community,ended
KLUSTER SERI ANGGERIK,10,2020-10-02,2020-10-20,community,ended
KLUSTER SERI SETIA,"10,14,16",2020-10-02,2020-10-22,community,ended
KLUSTER JELOK,"10,14",2020-10-03,2020-10-12,community,ended
KLUSTER BAH ROSE,"2,7",2020-10-03,2020-10-14,community,ended
KLUSTER BAH LUNAS,2,2020-10-03,2020-11-16,community,ended
KLUSTER EMBUN,10,2020-10-04,2020-10-06,community,ended
KLUSTER KAU SING,12,2020-10-04,2020-10-19,community,ended
KLUSTER BAH TANJUNG,11,2020-10-05,2020-10-06,community,ended
KLUSTER JERAM,2,2020-10-05,2020-10-18,highRisk,ended
KLUSTER BAH SINTOK,"2,5,10",2020-10-05,2020-10-20,community,ended
KLUSTER BATU,8,2020-10-06,2020-10-05,community,ended
KLUSTER RAMAI-RAMAI,12,2020-10-06,2020-11-05,workplace,ended
KLUSTER TEDUH,12,2020-10-06,2020-12-02,community,ended
KLUSTER BAH PUCHONG,"8,10,14",2020-10-07,2020-10-09,community,ended
KLUSTER PENJARA REMAN,"2,7",2020-10-07,2020-12-03,detentionCentre,ended
KLUSTER BAH BANGAT,15,2020-10-08,2020-10-21,community,ended
KLUSTER JALAN PANTAI,"10,14",2020-10-08,2020-10-21,community,ended
KLUSTER BAH KASTURI,"5,8,10,14,16",2020-10-08,2020-10-21,community,ended
KLUSTER TUJUH SERANGKAI,12,2020-10-08,2020-11-04,community,ended
KLUSTER BAH ARNAB,13,2020-10-08,2020-11-17,community,ended
KLUSTER TANAMERA,12,2020-10-08,2020-11-26,community,ended
KLUSTER BAH LADA,8,2020-10-09,2020-10-08,community,ended
KLUSTER ATAP,12,2020-10-09,2020-10-08,workplace,ended
KLUSTER BAH SAHABAT,11,2020-10-09,2020-10-08,community,ended
KLUSTER PUTRA,13,2020-10-10,2020-10-09,community,ended
KLUSTER TASIK,"10,13",2020-10-10,2020-10-19,religious,ended
KLUSTER SIMERA,"1,3,5,6,8,10,11,14,16",2020-10-10,2020-10-30,workplace,ended
KLUSTER HIGHWAY,12,2020-10-10,2020-11-02,workplace,ended
KLUSTER UTAMA,"4,10,14",2020-10-10,2020-11-25,workplace,ended
KLUSTER BAH MANGGIS,"5,10,12",2020-10-10,2021-01-17,community,ended
KLUSTER KHAZANAH,12,2020-10-11,2020-10-21,community,ended
KLUSTER BAH BUNDLE,"1,15",2020-10-11,2020-10-22,workplace,ended
KLUSTER KASIH,12,2020-10-11,2020-10-24,highRisk,ended
KLUSTER SURAT,12,2020-10-11,2020-10-25,community,ended
KLUSTER SUNGEI WAY,"7,10,14",2020-10-11,2020-11-06,community,ended
KLUSTER BAH PERDANA,14,2020-10-12,2020-10-11,community,ended
KLUSTER RINTING,"1,4",2020-10-12,2020-10-12,education,ended
KLUSTER BAIDURI,"5,10,14",2020-10-12,2020-10-24,workplace,ended
KLUSTER KOLONG,12,2020-10-12,2020-11-05,community,ended
KLUSTER BAH TROPICANA,"10,14",2020-10-12,2020-11-18,workplace,ended
KLUSTER SEMARAK,12,2020-10-13,2020-10-12,community,ended
KLUSTER SABINDO,12,2020-10-13,2020-10-12,workplace,ended
KLUSTER BINA,12,2020-10-13,2020-10-22,workplace,ended
KLUSTER BESTARI,12,2020-10-13,2020-10-24,community,ended
KLUSTER BAH KENANGAN,10,2020-10-13,2020-11-10,community,ended
KLUSTER PENJARA SEBERANG PERAI,"7,9",2020-10-13,2021-03-04,detentionCentre,ended
KLUSTER KENCANA,"1,10,11,14",2020-10-14,2020-10-20,workplace,ended
KLUSTER BAH PASIR,"5,16",2020-10-15,2020-10-15,community,ended
KLUSTER BAH PENGKALAN,8,2020-10-15,2020-10-15,education,ended
KLUSTER OLIVE,"10,12",2020-10-15,2020-10-19,religious,ended
KLUSTER SAGUKING,15,2020-10-15,2020-12-06,community,ended
KLUSTER LEKIR,8,2020-10-16,2020-10-23,community,ended
KLUSTER MERBOK,10,2020-10-16,2020-11-11,workplace,ended
KLUSTER BUNTAR,"1,2,7,8,10,14,16",2020-10-16,2020-12-06,workplace,ended
KLUSTER MENARA,"4,8,10,11,14,16",2020-10-17,2020-10-30,workplace,ended
KLUSTER SENTRAL,"10,14",2020-10-17,2020-11-05,highRisk,ended
KLUSTER BAH BEMBAN,"11,12",2020-10-17,2020-11-16,community,ended
KLUSTER KELADI,10,2020-10-17,2021-01-13,workplace,ended
KLUSTER BAH LAYANGAN,"5,15",2020-10-18,2020-10-26,community,ended
KLUSTER ALMA,"2,7,8",2020-10-18,2020-11-03,community,ended
KLUSTER AUTO,"5,10,14,16",2020-10-18,2020-11-14,community,ended
KLUSTER PENJARA KEPAYAN,12,2020-10-18,2021-02-22,detentionCentre,ended
KLUSTER BUKIT,4,2020-10-19,2020-11-04,highRisk,ended
KLUSTER HENTIAN,"5,8,10,14,16",2020-10-19,2021-04-13,workplace,ended
KLUSTER KERTANG,12,2020-10-20,2020-11-08,workplace,ended
KLUSTER LONG,"10,14",2020-10-21,2020-10-24,community,ended
KLUSTER BAH KOTA,"5,10",2020-10-21,2020-10-27,community,ended
KLUSTER INAI,12,2020-10-21,2020-11-02,community,ended
KLUSTER CAHAYA,"5,10,14",2020-10-21,2020-11-03,religious,ended
KLUSTER MELATI,"6,8,10,14",2020-10-21,2020-11-09,workplace,ended
KLUSTER TEMPAYAN,12,2020-10-21,2020-11-09,workplace,ended
KLUSTER BINA LABUAN,15,2020-10-21,2020-11-13,workplace,ended
KLUSTER BASUNG,12,2020-10-21,2020-11-14,workplace,ended
KLUSTER BAH MUTIARA,"5,10,14",2020-10-22,2020-10-21,community,ended
KLUSTER UMBOO,4,2020-10-22,2020-10-21,detentionCentre,ended
KLUSTER JAMBU,"7,10",2020-10-22,2020-11-01,community,ended
KLUSTER SOFI,5,2020-10-22,2020-11-01,education,ended
KLUSTER SAUH,"4,12,13",2020-10-22,2020-11-14,workplace,ended
KLUSTER TINUSA,12,2020-10-22,2020-12-22,community,ended
KLUSTER PALMA,"10,14",2020-10-23,2020-11-07,workplace,ended
KLUSTER JAYA,"5,10",2020-10-23,2020-12-02,workplace,ended
KLUSTER SAMUDERA,12,2020-10-23,2020-12-20,workplace,ended
KLUSTER BAH KAYU,"10,14",2020-10-24,2020-10-23,workplace,ended
KLUSTER MEGAH,12,2020-10-24,2020-10-31,community,ended
KLUSTER BAKI,"8,13",2020-10-24,2020-11-06,community,ended
KLUSTER KEMPAS,1,2020-10-24,2020-11-09,education,ended
KLUSTER MESRA,12,2020-10-24,2020-12-20,community,ended
KLUSTER KAYA,"1,3,4,5,8,10,14,16",2020-10-24,2020-12-23,workplace,ended
KLUSTER JAMBUL,12,2020-10-25,2020-10-25,community,ended
KLUSTER OMADAL,12,2020-10-25,2020-10-29,community,ended
KLUSTER BANDARAN,12,2020-10-25,2020-11-05,workplace,ended
KLUSTER SELADAH,13,2020-10-25,2020-11-06,community,ended
KLUSTER MAKEKAR,"10,11",2020-10-25,2020-11-07,workplace,ended
KLUSTER TITIR,12,2020-10-25,2020-11-09,workplace,ended
KLUSTER MENTARI,"5,10,14",2020-10-25,2020-11-18,community,ended
KLUSTER BAYAN,"2,7,8",2020-10-25,2020-11-22,workplace,ended
KLUSTER JERNIH,"5,10",2020-10-25,2020-11-30,workplace,ended
KLUSTER HAMPAR,5,2020-10-26,2020-10-25,education,ended
KLUSTER KAPOR,12,2020-10-26,2020-11-01,community,ended
KLUSTER PENJARA TAPAH,8,2020-10-26,2020-11-01,detentionCentre,ended
KLUSTER LINTAS,12,2020-10-27,2020-11-11,workplace,ended
KLUSTER LIMBUNGAN,15,2020-10-27,2020-11-13,workplace,ended
KLUSTER BAYU,1,2020-10-28,2020-10-27,community,ended
KLUSTER IDAMAN,"10,14",2020-10-28,2020-10-27,highRisk,ended
KLUSTER SERI GAYA,12,2020-10-28,2020-10-28,community,ended
KLUSTER GREENHILL,13,2020-10-28,2020-11-15,community,ended
KLUSTER TUGUSON,12,2020-10-29,2020-10-28,education,ended
KLUSTER TAMAN LAUT,10,2020-10-29,2020-11-12,workplace,ended
KLUSTER SAKTI,12,2020-10-29,2020-11-21,community,ended
KLUSTER TAMAN BUNGA,5,2020-10-29,2020-12-13,workplace,ended
KLUSTER BAH MEDAN,10,2020-10-29,2020-12-17,community,ended
KLUSTER MELDRUM,1,2020-10-30,2020-11-01,community,ended
KLUSTER MERPATI,"10,14",2020-10-30,2020-11-07,workplace,ended
KLUSTER SEMBULAN,12,2020-10-30,2020-11-08,workplace,ended
KLUSTER GALA,5,2020-10-30,2020-11-10,highRisk,ended
KLUSTER TELIPOK,12,2020-10-30,2020-11-11,workplace,ended
KLUSTER ASTAKA,"6,10",2020-10-30,2020-11-26,workplace,ended
KLUSTER RUMAH MERAH,12,2020-10-30,2020-12-12,detentionCentre,ended
KLUSTER TITIAN,15,2020-10-30,2021-01-23,community,ended
KLUSTER TEMBAGA,7,2020-11-01,2020-11-26,community,ended
KLUSTER USAHA,"1,8,10,14",2020-11-01,2021-02-03,workplace,ended
KLUSTER SERIDANA,16,2020-11-02,2020-11-13,workplace,ended
KLUSTER TENAGA,15,2020-11-02,2020-11-23,community,ended
KLUSTER PTS TAWAU,12,2020-11-02,2020-11-29,detentionCentre,ended
KLUSTER GEDONG,"1,5,10,14,16",2020-11-02,2020-11-30,education,ended
KLUSTER PERMATANG,"2,7,8,9",2020-11-03,2020-11-22,highRisk,ended
KLUSTER CERGAS,"3,5,10",2020-11-03,2021-01-14,workplace,ended
KLUSTER AERO,10,2020-11-04,2020-11-06,workplace,ended
KLUSTER SEPANGGAR,12,2020-11-04,2020-11-16,workplace,ended
KLUSTER GADING,"1,5,10,16",2020-11-04,2020-12-06,workplace,ended
KLUSTER LENGKUK,"5,10",2020-11-04,2020-12-09,workplace,ended
KLUSTER PENJARA SANDAKAN,12,2020-11-04,2020-12-27,detentionCentre,ended
KLUSTER DIALISIS,12,2020-11-04,2020-12-29,highRisk,ended
KLUSTER DANAU,14,2020-11-05,2020-11-22,community,ended
KLUSTER INTAN,"2,7",2020-11-05,2020-11-29,workplace,ended
KLUSTER TAMAR,10,2020-11-05,2020-11-29,workplace,ended
KLUSTER SUTERA,12,2020-11-05,2020-12-09,workplace,ended
KLUSTER RIA-30,12,2020-11-05,2021-01-08,community,ended
KLUSTER PASAR BARU,"10,16",2020-11-05,2021-01-22,workplace,ended
KLUSTER FORES,"10,14",2020-11-06,2020-11-06,workplace,ended
KLUSTER MAMPULUT,12,2020-11-06,2020-11-25,community,ended
KLUSTER RENGAS,"2,7,8",2020-11-06,2020-11-25,education,ended
KLUSTER MAHKOTA,"10,13,14,16",2020-11-07,2020-11-10,community,ended
KLUSTER SOFTWOOD LD,12,2020-11-07,2020-11-20,workplace,ended
KLUSTER TAPAK BINA DAMANLELA,"10,11,14",2020-11-07,2021-02-12,workplace,ended
KLUSTER TERATAI,"5,10,11,14,16",2020-11-07,2021-03-19,workplace,ended
KLUSTER IKHTISAS,"3,5,10",2020-11-08,2020-11-12,highRisk,ended
KLUSTER WISMA SABERKAS,13,2020-11-08,2020-11-14,workplace,ended
KLUSTER BERENDAM,"1,4",2020-11-08,2020-12-02,workplace,ended
KLUSTER HARMONI,16,2020-11-09,2020-11-10,workplace,ended
KLUSTER NUMBAK,12,2020-11-09,2020-11-22,community,ended
KLUSTER PADANG,1,2020-11-09,2020-11-24,workplace,ended
KLUSTER SERI TERAPI,"4,10,14",2020-11-09,2020-11-26,community,ended
KLUSTER NAHABA,12,2020-11-09,2020-12-31,community,ended
KLUSTER PERIGI,10,2020-11-09,2021-02-22,community,ended
KLUSTER KUBE,"3,10",2020-11-10,2020-11-19,community,ended
KLUSTER TATAHAN,12,2020-11-10,2020-11-21,community,ended
KLUSTER LIAWAN,12,2020-11-10,2020-11-24,community,ended
KLUSTER GK TAWAU,12,2020-11-10,2021-01-03,detentionCentre,ended
KLUSTER SAGA,12,2020-11-11,2020-11-21,community,ended
KLUSTER HAVEN,12,2020-11-11,2020-11-25,highRisk,ended
KLUSTER KARAMUNTING,12,2020-11-11,2020-12-09,community,ended
KLUSTER TELUK,12,2020-11-12,2020-12-05,workplace,ended
KLUSTER BMU,4,2020-11-13,2020-11-12,highRisk,ended
KLUSTER ABELL,13,2020-11-13,2020-11-13,workplace,ended
KLUSTER BONGGAYA,12,2020-11-13,2020-12-14,community,ended
KLUSTER JAMBATAN B,12,2020-11-13,2020-12-21,community,ended
KLUSTER ISTIMEWA,12,2020-11-14,2020-11-16,highRisk,ended
KLUSTER RAJAWALI,7,2020-11-14,2020-11-20,community,ended
KLUSTER ALILA,12,2020-11-14,2020-11-28,workplace,ended
KLUSTER ASSUMPTION,"2,7",2020-11-14,2020-12-01,workplace,ended
KLUSTER JALAN KALABAKAN,12,2020-11-15,2020-11-26,community,ended
KLUSTER JERI,1,2020-11-15,2020-12-01,community,ended
KLUSTER PLAZA,12,2020-11-15,2020-12-05,workplace,ended
KLUSTER KIAMBANG,1,2020-11-16,2020-11-24,education,ended
KLUSTER MATAMBAI,12,2020-11-16,2021-02-17,detentionCentre,ended
KLUSTER KEJORA,12,2020-11-17,2020-11-22,workplace,ended
KLUSTER SUMMER,7,2020-11-17,2020-11-23,workplace,ended
KLUSTER AVENUE,12,2020-11-17,2020-12-03,workplace,ended
KLUSTER KASAH,"10,14",2020-11-17,2020-12-04,workplace,ended
KLUSTER MENGKETIL,"3,11",2020-11-17,2020-12-08,community,ended
KLUSTER MURNI,"10,14",2020-11-18,2020-11-17,workplace,ended
KLUSTER GARDEN,12,2020-11-18,2020-11-18,workplace,ended
KLUSTER PARIT KASSAN,"1,4",2020-11-18,2020-11-19,workplace,ended
KLUSTER BESI DEMAK,13,2020-11-18,2020-11-20,workplace,ended
KLUSTER TOMHER MC,12,2020-11-18,2020-11-25,workplace,ended
KLUSTER SERI PASIR,"7,8",2020-11-18,2020-11-26,workplace,ended
KLUSTER PUTRA-18,"4,5,10,16",2020-11-18,2020-11-29,community,ended
KLUSTER SABARU,12,2020-11-18,2020-12-14,community,ended
KLUSTER BAH BERCHAM,8,2020-11-19,2020-11-18,community,ended
KLUSTER KAPAS BJ,10,2020-11-19,2020-11-18,workplace,ended
KLUSTER PRESTIJ,14,2020-11-19,2020-12-09,workplace,ended
KLUSTER KASIR,12,2020-11-20,2020-11-25,workplace,ended
KLUSTER OAD,"5,10",2020-11-20,2020-12-04,workplace,ended
KLUSTER MAKMUR,1,2020-11-20,2020-12-10,highRisk,ended
KLUSTER SRI JUJUR,10,2020-11-20,2020-12-12,workplace,ended
KLUSTER ENGGOR,"7,8",2020-11-20,2020-12-23,community,ended
KLUSTER KOTA KECIL,1,2020-11-21,2020-11-23,education,ended
KLUSTER SKY COKLAT,15,2020-11-21,2020-12-06,workplace,ended
KLUSTER PENJARA JALAN HARAPAN,"1,4,5,8,10,14,16",2020-11-21,2021-04-14,detentionCentre,ended
KLUSTER PENGKALAN BARAT,"7,8",2020-11-22,2020-12-14,workplace,ended
KLUSTER BAYAM INDAH,"2,7",2020-11-22,2020-12-19,community,ended
KLUSTER BAKTI,"4,5",2020-11-22,2020-12-27,detentionCentre,ended
KLUSTER TEJA KASIH,8,2020-11-23,2020-11-22,highRisk,ended
KLUSTER INDAH MAS,"10,14",2020-11-23,2020-12-12,community,ended
KLUSTER BINTANG,"2,10,14",2020-11-23,2021-02-05,workplace,ended
KLUSTER KERENGGE,11,2020-11-25,2020-11-28,community,ended
KLUSTER TANJUNG BUNGA,1,2020-11-25,2020-12-01,community,ended
KLUSTER GANGSA,10,2020-11-25,2020-12-05,workplace,ended
KLUSTER D'BAJARU,12,2020-11-25,2021-01-01,community,ended
KLUSTER BATU TUJUH,"1,4",2020-11-25,2021-01-01,religious,ended
KLUSTER GEMILANG,1,2020-11-26,2020-11-28,workplace,ended
KLUSTER BOT BIRU,12,2020-11-26,2020-11-30,workplace,ended
KLUSTER BLOK 31,12,2020-11-26,2020-12-01,community,ended
KLUSTER CHENGAL,3,2020-11-26,2020-12-03,community,ended
KLUSTER TAPAK BINA SUNGAI UDANG,14,2020-11-26,2020-12-09,workplace,ended
KLUSTER DAMAR LAUT,"2,7,8",2020-11-26,2020-12-13,community,ended
KLUSTER JALAN TUARAN,12,2020-11-27,2020-12-05,workplace,ended
KLUSTER TAPAK BINA PUTEH LAMA,14,2020-11-27,2020-12-14,workplace,ended
KLUSTER JALAN HARUAN,"5,10",2020-11-27,2020-12-24,workplace,ended
